name,diameter,distance
154347 (2002 XK4),3.6144313359,49550754.592860912
385186 (1994 AW1),1.7621382518,33403488.692868118
453309 (2008 VQ4),0.744800533,39565964.662403717
(2014 QR295),1.2474983468,39330824.516289241
(2015 AE45),0.0517654482,8526777.284930033
(2015 LJ),0.0682401509,64975962.736835246
(2017 BQ93),0.4529392731,15384364.649270981
(2017 XY61),0.0342010925,27322012.490044019
(2018 KR),0.0313357417,33343158.085945594
(2018 VB10),0.0411187571,39470300.39992781
(2019 AE3),0.0196806745,24802973.989504031
(2019 YO4),0.2489086439,73118609.642279169
(2020 BT3),0.0459240286,16841972.094007461
(2021 AP1),0.1096579137,10795251.111612603
(2021 AX6),0.0248908644,55685829.049663925
(2021 NZ),0.1032856481,69821079.922989993
(2021 TU1),0.1845185269,13984589.45222909
(2022 OS),0.2630510131,67297842.673992502
(2022 YR1),0.0368162863,6245509.728726767
(2022 YM6),0.0529712204,11493547.95370301
(2022 YS6),0.0252371308,1786696.384631999
(2023 BN2),0.285785361,45748404.34801252
(2023 CA4),0.2377059096,18796419.960405238
(2023 YO1),0.0394493615,27027747.959592616
350751 (2002 AW),0.4074177807,54279221.493502329
(2015 RD2),0.8356799428,25962468.947376968
(2018 PN22),0.0187948982,11468354.984244808
(2019 AY3),0.1023387195,5225075.535362936
(2020 HA10),0.933340215,42014479.630349796
(2022 AO2),0.0863057993,32029066.43028682
(2022 XW1),0.0549591464,13627638.507437551
(2022 XD2),0.0636854144,15255399.616697121
(2022 YS4),0.0424658654,2300587.388084203
(2023 AR1),0.3451755128,57688690.272424073
306383 (1993 VD),0.2992540101,74512448.691120951
(2000 WM63),0.4966380371,50612018.802160009
(2007 BT7),0.5675968529,41772395.465265447
(2014 QV296),0.1047224945,70519325.393171842
(2014 TC),0.0342010925,52439994.938803855
(2016 AJ165),0.0494356193,39806600.106755199
(2018 BP1),0.0714562102,40350515.941268735
(2018 XE4),0.0311917671,8837356.181174712
(2019 WC5),0.1905636132,9759459.305633081
(2019 YV1),0.0534613571,73895132.422335323
(2020 JN2),0.1032856481,50288000.766304093
(2021 EB3),0.0547066321,8860641.89746871
(2022 PF),0.0252371308,69782983.419174515
(2022 WB3),0.3499773825,45226771.146155058
(2022 WH3),0.0820427065,18948126.367503527
(2022 WT10),0.4898239078,48746363.584637346
(2022 YL4),0.0176213825,1982840.150863586
(2023 AE),0.0366471308,1663888.949985209
(2024 HX1),0.0287104486,69681182.278076533
189173 (2002 XY4),0.9728367737,42943230.345598633
219071 (1997 US9),2.2184006242,65714916.584924264
(2017 HJ),0.0185370226,50989788.02589734
(2021 AT2),0.0208948847,64867216.33510507
(2021 NF),0.0666868155,6837263.072521683
(2021 RG6),0.0097732718,27608609.381668572
(2021 SV1),0.0300635304,40644068.086663198
(2022 LG5),0.3532156834,16806632.379740343
(2022 MF2),0.0353215683,45213306.111152524
(2022 WV7),0.1506745763,21835290.205252148
(2022 YT3),0.0409298336,4257509.513493058
(2022 YU3),0.0399981568,3768530.340221965
(2022 YZ3),0.0552128263,9062157.887769654
(2022 YP5),0.022286403,2988369.59428379
(2022 YY6),0.0349977383,813642.409780532
(2023 AL2),0.0385513844,1688067.15221184
494690 (2004 JQ1),0.5675968529,73620334.748551493
(2008 FX6),0.0594346868,53303925.121378497
(2011 WR41),0.0562393094,6064355.265154931
(2012 BE27),0.130028927,2147031.083645068
(2012 BA35),0.1056914799,74055040.098822539
(2015 AO43),0.0297879063,12357600.133340637
(2022 DA3),0.0159970528,56575835.517279971
(2022 YJ4),0.0239905375,2028629.111792547
(2022 YN7),0.4613600429,27358959.902700453
(2023 AU),0.0234444462,3653483.22028249
(2002 AJ69),0.3266178974,64699620.450083879
(2010 UY7),0.0118587791,70761648.331416498
(2015 MQ116),0.1185877909,23867035.246199564
(2018 LM4),1.0666943108,57701788.972162551
(2020 BT2),0.1096579137,63953666.169668211
(2020 CN),0.0196806745,74174911.151678034
(2020 EO),0.0392681082,25671748.001511403
(2021 AM2),0.0217791025,67607040.722057933
(2022 LF),0.1406176963,18725640.80993086
(2022 YN1),0.0835679943,7027004.005037909
(2022 YC3),0.1585039096,30273073.482574047
(2022 YV5),0.0524855773,8013363.827798443
(2022 YQ6),0.0676145215,12712432.188861283
(2023 AL),0.0450858206,10335165.405591393
(2023 AV1),0.0264265201,1979723.772915107
(2023 OM),0.0455029946,39869627.095606177
(2023 XO15),0.0407417781,27770842.437366642
344133 (2000 AD6),1.1016407159,48019176.835726362
369454 (2010 NZ1),0.9037326626,67219618.246965242
452334 (2001 LB),0.3614431336,42039033.75706395
(2003 MK4),0.3999815682,16677946.242475524
(2006 HJ18),0.2512117673,38282890.599191169
(2008 BX2),0.1132504611,44202801.596088239
(2013 QM10),0.0751692087,70000648.679059403
(2013 YL2),0.1425738833,15016064.477031679
(2016 AE166),0.3076379996,13890074.206113292
(2019 AR3),0.1941064553,26515188.721258513
(2019 AJ8),0.1336718562,33327732.256701183
(2021 RH),0.0414992243,53093191.389041337
(2022 BB3),0.1556108872,54475032.015518704
(2022 OF),0.0325117225,20369491.888178706
(2022 YD6),0.0867041687,15412184.168371921
(2023 AF),0.4385710684,62837703.503815072
(2023 AG1),0.1745982871,34557638.668443825
